,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0103', 0.9957886697482402)","('C0137', 0.9811454761725985)","('C0191', 0.9528251146146083)"
C0002,"('C0029', 0.999831588403425)","('C0077', 0.9951840919025055)","('C0025', 0.988549352110799)"
C0003,"('C0010', 0.9541919448829387)","('C0176', 0.9336110676630717)","('C0190', 0.9321707249278193)"
C0004,"('C0075', 0.9972330923018664)","('C0165', 0.9927777226734699)","('C0124', 0.9849630112143049)"
C0005,"('C0130', 0.9984971380139361)","('C0020', 0.9976058697806417)","('C0128', 0.9959830379580356)"
C0006,"('C0079', 0.9875327847394931)","('C0168', 0.9720408879057841)","('C0196', 0.9658596014222852)"
C0007,"('C0125', 0.9987680196006534)","('C0085', 0.9967303450167071)","('C0089', 0.989226265604518)"
C0008,"('C0084', 0.98976466569664)","('C0179', 0.9897381731710889)","('C0090', 0.9800901486917245)"
C0009,"('C0192', 0.9987960773716095)","('C0128', 0.9876085017979392)","('C0061', 0.9733022317852845)"
C0010,"('C0142', 0.9844170187674133)","('C0121', 0.9742317763914193)","('C0055', 0.9703000423206266)"
C0011,"('C0196', 0.9679825432617115)","('C0023', 0.9674812935003743)","('C0168', 0.9664664916003385)"
C0012,"('C0065', 0.9989125461861122)","('C0068', 0.9964259300226106)","('C0101', 0.992787351756212)"
C0013,"('C0059', 0.9979785997099648)","('C0141', 0.9976189572612922)","('C0188', 0.9943314541245046)"
C0014,"('C0097', 0.9979571632478268)","('C0036', 0.9953081838200357)","('C0062', 0.9952539421561147)"
C0015,"('C0058', 0.9990260587511)","('C0186', 0.995835656937928)","('C0131', 0.9939454269019393)"
C0016,"('C0107', 0.9987169372452892)","('C0048', 0.9873321960092256)","('C0187', 0.9723120757860296)"
C0017,"('C0113', 0.9986017102001119)","('C0109', 0.9909314585929552)","('C0075', 0.9844494556234484)"
C0018,"('C0182', 0.9628209406317263)","('C0053', 0.9332559640120439)","('C0041', 0.918295778248016)"
C0019,"('C0172', 0.9440745116238848)","('C0088', 0.8769834338156564)","('C0119', 0.8514471098369136)"
C0020,"('C0167', 0.9992713702507025)","('C0130', 0.9977053287809702)","('C0005', 0.9976058697806417)"
