,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0069', 0.9500548112992332)","('C0035', 0.9134825860307535)","('C0146', 0.9134825860307535)"
C0002,"('C0133', 0.9999999999999999)","('C0134', 0.9411705684349593)","('C0103', 0.8941146799902356)"
C0003,"('C0166', 1.0000000000000002)","('C0158', 1.0000000000000002)","('C0031', 1.0000000000000002)"
C0004,"('C0047', 0.9328877664310049)","('C0194', 0.8994875108213158)","('C0090', 0.8994875108213158)"
C0005,"('C0007', 0.9999999999999999)","('C0197', 0.9999999999999999)","('C0120', 0.8793075683750426)"
C0006,"('C0006', 1.0000000000000002)","('C0132', 0.8556577164646645)","('C0142', 0.8512429640356879)"
C0007,"('C0007', 0.9999999999999999)","('C0197', 0.9999999999999999)","('C0120', 0.8793075683750426)"
C0008,"('C0162', 0.9269408763160711)","('C0059', 0.9089160837878303)","('C0154', 0.8823041196107578)"
C0009,"('C0040', 1.0)","('C0092', 0.9378332740160448)","('C0029', 0.880019068160241)"
C0010,"('C0176', 0.9368731512468093)","('C0083', 0.9368731512468093)","('C0077', 0.9368731512468093)"
C0011,"('C0126', 0.9778349978039348)","('C0171', 0.9164321758898004)","('C0142', 0.9129304030757259)"
C0012,"('C0065', 0.9813940808210408)","('C0172', 0.979943031867959)","('C0136', 0.9535548062703003)"
C0013,"('C0049', 0.9773129210204557)","('C0067', 0.9567887570664824)","('C0105', 0.9445169680402925)"
C0014,"('C0097', 1.0)","('C0110', 1.0)","('C0060', 1.0)"
C0015,"('C0015', 0.9999999999999999)","('C0060', 0.896046047693626)","('C0080', 0.896046047693626)"
C0016,"('C0183', 0.9999999999999999)","('C0107', 0.9999999999999999)","('C0088', 0.9999999999999999)"
C0017,"('C0075', 0.9285412831810788)","('C0090', 0.8993373047776525)","('C0194', 0.8993373047776525)"
C0018,"('C0023', 0.8830932912782331)","('C0125', 0.8639385253154509)","('C0168', 0.8639385253154509)"
C0019,"('C0191', 0.9727918891475279)","('C0070', 0.9161860684406815)","('C0023', 0.8987278115100583)"
C0020,"('C0020', 0.9999999999999999)","('C0140', 0.8925115694290924)","('C0095', 0.8925115694290924)"
